No,Date,Time,ID,Result,ST01£¨0.0-0.8£©,ST02£¨0.0-0.8£©,ST03£¨0.0-0.8£©,ST04£¨0.0-0.8£©,P-B'£¨0.0-0.8£©,P-F',P-A',P-E',P-B,P-F,P-A,P-E,P-H',P-H,P-X',P-Y',P-X,P-Y,P-M,P-N,P-M',P-N'
68,2023/12/20,13:08:57,104458001D2335418A020,OK,0.30,0.10,0.20,0.50,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
67,2023/12/20,13:07:50,104458001D2335417A007,NG,0.80,0.20,-0.20,0.40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
66,2023/12/20,13:01:34,104458001D2335418A019,OK,0.30,0.10,0.70,0.40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
65,2023/12/20,12:56:41,104458001D2335417A004,OK,0.30,0.30,0.20,0.50,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
64,2023/12/20,12:54:52,104458001D2335417A006,OK,0.80,0.10,0.60,0.40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
63,2023/12/20,12:48:33,104458001D2335417A005,OK,0.60,0.50,0.40,0.30,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
62,2023/12/20,12:45:40,104458001D2335417A003,OK,0.60,0.10,0.60,0.40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
61,2023/12/20,12:40:46,104458001D2335418A017,NG,0.30,-0.20,0.50,0.20,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
60,2023/12/20,12:23:34,104458001D2335417A002,OK,0.70,0.60,0.50,0.40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
59,2023/12/20,12:01:39,104458001D2335418A015,OK,0.20,0.00,0.00,0.40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
58,2023/12/20,11:45:56,104458001D2335418A016,OK,0.20,0.00,0.40,0.40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
57,2023/12/20,11:42:29,104458001D2335418A012,NG,0.20,-0.20,0.70,0.40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
56,2023/12/20,11:37:36,104458001D2335418A014,OK,0.20,0.00,0.50,0.40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
55,2023/12/20,11:32:49,104458001D2335318A004,OK,0.10,0.10,0.60,0.20,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
54,2023/12/20,11:26:32,104458001D2335317A035,OK,0.40,0.20,0.60,0.40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
53,2023/12/20,11:20:12,104458001D2335418A011,NG,0.10,-0.10,0.50,0.30,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
52,2023/12/20,11:17:40,104458001D2335418A013,OK,0.10,0.00,0.20,0.50,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
51,2023/12/20,11:17:04,104458001D2335317A034,OK,0.50,0.60,0.30,0.40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
50,2023/12/20,11:10:57,104458001D2335418A007,NG,0.20,-0.30,0.20,0.00,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
49,2023/12/20,11:05:31,104458001D2335417A001,OK,0.50,0.00,0.60,0.40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
48,2023/12/20,11:01:14,104458001D2335418A006,NG,0.50,-0.90,0.50,0.40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
47,2023/12/20,10:57:15,104458001D2335317A030,OK,0.60,0.20,0.50,0.40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
46,2023/12/20,10:54:40,104458001D2335418A009,OK,0.00,0.20,0.40,0.10,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
45,2023/12/20,10:51:34,104458001D2335317A036,OK,0.40,0.10,0.30,0.40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
44,2023/12/20,10:50:58,104458001D2335317A032,OK,0.50,0.10,0.20,0.40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
43,2023/12/20,10:41:52,104458001D2335418A002,OK,0.30,0.10,0.60,0.30,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
42,2023/12/20,10:36:24,104458001D2335418A008,NG,0.30,-0.40,0.60,0.40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
41,2023/12/20,10:33:23,104458001D2335418A001,OK,0.20,0.20,0.80,0.50,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
40,2023/12/20,10:32:16,104458001D2335317A031,OK,0.10,0.00,0.30,0.40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
39,2023/12/20,10:27:27,104458001D2335418A010,OK,0.00,0.10,0.70,0.20,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
38,2023/12/20,10:24:57,104458001D2335317A029,OK,0.20,0.10,0.10,0.40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
37,2023/12/20,10:21:21,104458001D2335317A027,OK,0.40,0.50,0.40,0.30,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
36,2023/12/20,10:18:46,104458001D2335218B064,OK,0.10,0.10,0.20,0.20,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
35,2023/12/20,10:15:27,104458001D2335318A031,OK,0.10,0.00,0.80,0.30,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
34,2023/12/20,10:14:18,104458001D2335317A028,OK,0.80,0.00,0.20,0.40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
33,2023/12/20,9:43:00,104458001D2335318A032,OK,0.30,0.20,0.60,0.10,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
32,2023/12/20,9:41:08,104458001D2335218B063,NG,0.00,-0.20,0.50,0.50,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
31,2023/12/20,9:36:21,104458001D2335318A033,NG,0.20,-0.20,0.50,0.60,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
30,2023/12/20,9:33:08,104458001D2335317A025,OK,0.50,0.40,0.40,0.40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
29,2023/12/20,9:31:00,104458001D2335318A028,NG,0.30,-1.10,0.70,0.40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
28,2023/12/20,9:25:45,104458001D2335317A024,OK,0.60,0.60,0.40,0.30,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
27,2023/12/20,9:13:08,104458001D2335317A026,OK,0.70,0.00,0.50,0.40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
26,2023/12/20,9:07:27,104458001D2335318A030,OK,0.00,0.00,0.60,0.10,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
25,2023/12/20,9:06:49,104458001D2335318A029,OK,0.50,0.00,0.70,0.40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
24,2023/12/20,8:56:05,104458001D2335318A027,NG,0.30,-0.50,0.80,0.30,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
23,2023/12/20,8:49:08,104458001D2335318A022,OK,0.60,0.00,0.60,0.30,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
22,2023/12/20,8:48:11,104458001D2335318A026,OK,0.00,0.10,0.70,0.20,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
21,2023/12/20,8:42:02,104458001D2335318A020,NG,0.30,-0.70,0.70,0.40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
20,2023/12/20,8:39:06,104458001D2335318A019,OK,0.60,0.00,0.20,0.50,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
19,2023/12/20,8:36:19,104458001D2335318A021,OK,0.60,0.00,0.40,0.40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
18,2023/12/20,8:31:37,104458001D2334917B065,OK,0.50,0.50,0.00,0.30,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
17,2023/12/20,8:31:01,104458001D2335318A024,OK,0.40,0.00,0.80,0.50,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
16,2023/12/20,8:30:18,104458001D2335317A019,OK,0.40,0.00,0.10,0.50,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
15,2023/12/20,8:18:28,104458001D2335318A025,OK,0.60,0.10,0.80,0.50,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
14,2023/12/20,8:16:38,104458001D2335317A017,OK,0.20,0.00,0.20,0.60,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
13,2023/12/20,8:16:02,104458001D2335317A015,OK,0.60,0.20,0.20,0.30,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
12,2023/12/20,7:54:09,104458001D2335317A022,NG,0.10,0.20,-0.30,0.50,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
11,2023/12/20,7:48:06,104458001D2335317A021,OK,0.40,0.00,0.20,0.60,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
10,2023/12/20,7:47:30,104458001D2335317A020,OK,0.80,0.20,0.40,0.40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
9,2023/12/20,7:28:21,104458001D2335318A023,OK,0.70,0.10,0.60,0.60,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
8,2023/12/20,7:19:45,104458001D2335318A003,NG,0.50,-0.10,0.30,0.50,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
7,2023/12/20,7:18:59,104458001D2335317A018,OK,0.80,0.20,0.20,0.10,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
6,2023/12/20,7:18:17,104458001D2335317A016,OK,0.10,0.10,0.10,0.20,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
5,2023/12/20,6:39:14,104458001D2335317A012,OK,0.40,0.30,0.30,0.30,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
4,2023/12/20,6:32:17,104458001D2335317A014,NG,0.60,-0.10,0.00,0.40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
3,2023/12/20,6:30:12,104458001D2335317A013,OK,0.60,0.00,0.30,0.30,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
2,2023/12/20,6:25:37,104458001D2335318A005,OK,0.20,0.00,0.70,0.10,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
1,2023/12/20,6:23:45,104458001D2335317A008,NG,0.00,-0.20,-0.20,0.20,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
